Symbol
ZTS
ZBRA
ZBH
YUM
XYL
XOM
XEL
WYNN
WY
WTW
WST
WSM
WRB
WMT
WMB
WM
WFC
WELL
WEC
WDC
WDAY
WBD
WBA
WAT
WAB
VZ
VTRS
VTR
VST
VRTX
VRSN
VRSK
VMC
VLTO
VLO
VICI
V
USB
URI
UPS
UNP
UNH
ULTA
UHS
UDR
UBER
UAL
TYL
TXT
TXN
TTWO
TT
TSN
TSLA
TSCO
TRV
TROW
TRMB
TRGP
TPR
TPL
TMUS
TMO
TKO
TJX
TGT
TFC
TER
TEL
TECH
TDY
TDG
TAP
T
SYY
SYK
SYF
SWKS
SWK
SW
STZ
STX
STT
STLD
STE
SRE
SPGI
SPG
SOLV
SO
SNPS
SNA
SMCI
SLB
SJM
SHW
SCHW
SBUX
SBAC
RVTY
RTX
RSG
ROST
ROP
ROL
ROK
RMD
RL
RJF
RF
REGN
REG
RCL
QCOM
PYPL
PWR
PTC
PSX
PSA
PRU
PPL
PPG
POOL
PODD
PNW
PNR
PNC
PM
PLTR
PLD
PKG
PHM
PH
PGR
PG
PFG
PFE
PEP
PEG
PCG
PCAR
PAYX
PAYC
PARA
PANW
OXY
OTIS
ORLY
ORCL
ON
OMC
OKE
ODFL
O
NXPI
NWSA
NWS
NVR
NVDA
NUE
NTRS
NTAP
NSC
NRG
NOW
NOC
NKE
NI
NFLX
NEM
NEE
NDSN
NDAQ
NCLH
MU
MTD
MTCH
MTB
MSI
MSFT
MSCI
MS
MRNA
MRK
MPWR
MPC
MOS
MOH
MO
MNST
MMM
MMC
MLM
MKTX
MKC
MHK
MGM
META
MET
MDT
MDLZ
MCO
MCK
MCHP
MCD
MAS
MAR
MAA
MA
LYV
LYB
LW
LVS
LUV
LULU
LRCX
LOW
LNT
LMT
LLY
LKQ
LIN
LII
LHX
LH
LEN
LDOS
L
KVUE
KR
KO
KMX
KMI
KMB
KLAC
KKR
KIM
KHC
KEYS
KEY
KDP
K
JPM
JNPR
JNJ
JKHY
JCI
JBL
JBHT
J
IVZ
ITW
IT
ISRG
IRM
IR
IQV
IPG
IP
INVH
INTU
INTC
INCY
IFF
IEX
IDXX
ICE
IBM
HWM
HUM
HUBB
HSY
HST
HSIC
HRL
HPQ
HPE
HON
HOLX
HLT
HII
HIG
HES
HD
HCA
HBAN
HAS
HAL
GWW
GS
GRMN
GPN
GPC
GOOGL
GOOG
GNRC
GM
GLW
GL
GIS
GILD
GEV
GEN
GEHC
GE
GDDY
GD
FTV
FTNT
FSLR
FRT
FOXA
FOX
FITB
FIS
FICO
FI
FFIV
FE
FDX
FDS
FCX
FAST
FANG
F
EXR
EXPE
EXPD
EXE
EXC
EW
EVRG
ETR
ETN
ESS
ES
ERIE
EQT
EQR
EQIX
EPAM
EOG
ENPH
EMR
EMN
ELV
EL
EIX
EG
EFX
ED
ECL
EBAY
EA
DXCM
DVN
DVA
DUK
DTE
DRI
DPZ
DOW
DOV
DOC
DLTR
DLR
DIS
DHR
DHI
DGX
DG
DELL
DECK
DE
DD
DAY
DASH
DAL
D
CZR
CVX
CVS
CTVA
CTSH
CTRA
CTAS
CSX
CSGP
CSCO
CRWD
CRM
CRL
CPT
CPRT
CPB
CPAY
COST
COR
COP
COO
COIN
COF
CNP
CNC
CMS
CMI
CMG
CME
CMCSA
CLX
CL
CINF
CI
CHTR
CHRW
CHD
CFG
CF
CEG
CDW
CDNS
CCL
CCI
CBRE
CBOE
CB
CAT
CARR
CAH
CAG
C
BXP
BX
BSX
BRO
BRK.B
BR
BMY
BLK
BLDR
BKR
BKNG
BK
BIIB
BG
BF.B
BEN
BDX
BBY
BAX
BALL
BAC
BA
AZO
AXP
AXON
AWK
AVY
AVGO
AVB
ATO
ARE
APTV
APO
APH
APD
APA
AOS
AON
ANSS
ANET
AMZN
AMT
AMP
AMGN
AME
AMD
AMCR
AMAT
ALLE
ALL
ALGN
ALB
AKAM
AJG
AIZ
AIG
AFL
AES
AEP
AEE
ADSK
ADP
ADM
ADI
ADBE
ACN
ACGL
ABT
ABNB
ABBV
AAPL
A
COIN
DASH
TKO
WSM
EXE
APO
WDAY
LII
TPL

AMTM
PLTR
DELL
ERIE
KKR
CRWD
GDDY
VST


GEV
SOLV
SMCI
DECK
UBER
JBL
BLDR
HUBB
LULU

VLTO
BX
ABNB
KVUE
PANW
AXON
FICO
BG
PODD

GEHC
STLD
FSLR

MBC
ACGL
TRGP
PCG
EQT
CSGP
INVH

KDP
ON
VICI
WBD

CPT
MOH
NDSN

CEG
SBNY
SEDG
FDS
EPAM
MTCH
CDAY
BRO
TECH
MRNA

OGN
CRL
PTC
NXPI
PENN
GNRC
CZR
MPWR
TRMB
ENPH
TSLA

VNT
POOL
ETSY
TER
CTLT
BIO
TDY
TYL
WST
DPZ
DXCM


OTIS
CARR
HWM
IR
PAYC
LYV
ZBRA
STE
ODFL
WRB
NOW
LVS
NVR
